type,title,cast,date_added,rating,listed_in,country_parsed
0,686,2556,1,8,490,61
0,687,3088,1,8,272,76
0,688,3510,1,8,188,19
1,689,101,1,6,394,28
0,690,436,1,6,309,28
0,691,418,1,6,358,28
0,692,3494,1,6,293,76
1,693,-1,1,8,108,48
1,636,4758,1,8,74,35
1,694,-1,1,11,80,48
1,695,3080,1,9,80,35
1,696,4265,1,11,403,48
1,697,278,1,8,382,10
0,698,3477,1,0,130,76
0,699,4237,1,0,113,76
0,700,4238,1,0,113,76
0,701,4846,1,8,352,49
0,702,2297,1,6,208,72
0,703,1204,1,6,205,46
0,704,2305,1,8,187,76
0,705,6800,1,5,187,76
0,706,3622,1,2,22,76
0,707,6427,1,9,36,28
0,708,5068,1,8,48,71
0,709,5317,1,6,188,28
1,710,5705,1,8,375,48
1,711,6450,1,8,392,71
0,712,1141,1,8,309,71
1,713,6579,1,6,376,48
1,714,4725,1,6,376,71
1,715,648,1,6,376,71
1,716,1146,1,6,376,71
0,717,6219,1,6,208,71
0,746,2988,1,8,269,67
0,718,4580,1,6,309,28
0,719,2407,1,8,208,58
1,720,3695,1,8,387,21
0,721,-1,1,8,266,1
0,722,3438,1,10,113,76
0,723,1901,1,10,113,76
1,724,393,1,10,403,76
1,725,392,1,10,403,48
0,729,3437,1,10,113,76
0,730,3434,1,10,113,76
0,731,3435,1,10,113,76
1,726,3344,1,10,414,76
0,727,391,1,10,139,76
0,728,1900,1,10,113,76
0,732,1630,1,11,113,76
0,733,1631,1,10,113,76
0,734,1903,1,10,113,76
0,735,3436,1,10,113,76
0,736,1902,1,10,113,76
0,737,774,1,6,423,76
0,738,3373,1,6,312,52
1,739,1872,1,8,387,28
0,740,755,1,6,188,28
0,741,2272,1,4,18,76
0,742,5187,1,6,188,28
0,743,1961,1,6,205,10
0,744,1616,1,8,293,76
0,745,6391,1,9,49,28
0,637,6380,1,5,220,76
0,747,4323,1,5,175,76
1,748,-1,1,9,281,76
1,749,5419,1,10,403,33
1,750,6452,1,8,249,76
0,751,1563,1,6,314,28
0,752,6016,1,4,272,76
0,753,3482,1,5,0,76
0,754,3816,1,8,312,47
1,755,3127,1,6,246,76
0,756,3873,1,8,47,76
1,757,-1,1,9,94,75
1,758,-1,1,8,429,48
0,759,5143,1,9,155,28
0,760,1064,1,9,309,43
0,761,3910,1,8,314,42
0,762,1985,1,6,302,28
0,763,408,1,6,20,28
0,764,513,1,8,260,76
0,765,4219,1,3,191,76
1,766,2728,1,9,376,70
1,767,933,1,6,376,70
1,768,4616,1,10,403,57
0,769,-1,1,7,266,21
0,770,5430,1,4,205,75
0,771,-1,1,7,128,76
1,772,6009,1,9,275,9
1,638,1205,1,8,74,35
0,773,2468,1,8,301,76
1,774,707,1,10,403,1
0,775,707,1,10,139,1
1,776,3628,1,6,361,65
0,777,3508,1,8,304,76
0,778,4800,1,8,266,42
1,779,3596,1,6,237,9
0,780,6458,1,6,23,52
1,781,4302,1,8,375,48
0,782,4397,1,4,177,76
0,783,1969,1,4,176,76
0,786,2387,1,6,188,29
1,784,3721,1,6,361,65
0,785,2347,1,6,205,17
0,787,4373,1,3,260,76
1,788,-1,1,7,276,42
0,789,583,1,4,322,75
0,790,90,1,3,117,76
0,791,2853,1,3,117,76
0,792,4362,1,8,311,48
1,793,1409,1,8,375,46
0,794,6804,1,4,322,76
0,795,3338,1,4,342,76
0,796,3748,1,3,260,76
0,797,3993,1,6,309,17
0,798,-1,1,6,266,35
1,799,-1,1,6,92,76
0,800,6285,1,8,271,76
0,801,-1,1,6,260,76
1,802,5023,1,8,376,48
1,803,1884,1,8,231,72
0,804,6068,1,8,312,28
0,805,6347,1,6,269,75
0,806,3481,1,3,260,76
1,807,2096,1,6,441,76
0,808,4827,1,6,312,46
0,809,4140,1,8,260,76
0,810,1957,1,6,167,39
0,811,5971,1,8,309,5
0,812,3611,1,8,266,45
1,813,963,1,7,414,76
0,814,2190,1,8,302,77
0,815,1910,1,8,302,9
1,816,5048,1,10,403,75
1,817,6160,1,11,403,76
0,818,825,1,9,423,76
0,819,1236,1,4,220,76
0,820,-1,1,8,260,76
0,821,4439,1,8,346,76
0,822,2091,1,9,130,74
0,824,4693,1,3,130,76
0,823,5405,1,7,113,76
0,825,4351,1,4,328,76
0,826,4935,1,8,311,21
0,827,723,1,6,210,72
0,828,4231,1,5,358,1
0,829,1998,1,8,205,21
0,830,-1,1,5,312,21
0,831,2399,1,8,4,35
0,832,2400,1,8,4,35
0,833,2401,1,8,4,35
0,834,854,1,8,448,76
0,835,854,1,8,448,48
0,836,854,1,8,448,76
1,837,2586,1,7,426,76
1,838,1388,1,6,375,65
0,839,5572,1,6,205,48
0,842,2851,1,8,448,48
0,840,1446,1,8,270,9
0,841,5993,1,8,260,76
1,843,5542,1,9,414,76
1,844,6486,1,8,388,28
0,845,858,1,3,129,76
1,846,925,1,8,246,76
1,847,4953,1,8,231,57
0,848,6632,1,9,260,76
0,849,861,1,6,260,76
1,850,2814,1,6,396,9
0,851,2150,1,6,312,52
0,852,6768,1,8,176,76
0,853,4706,1,5,490,67
0,854,540,1,9,312,28
0,855,182,1,6,208,17
1,856,4110,1,11,80,35
1,857,4111,1,10,80,48
1,858,1908,1,11,80,35
1,859,3683,1,11,80,48
1,860,220,1,11,80,35
0,861,1135,1,8,188,72
0,862,3610,1,6,269,76
0,863,2052,1,5,56,76
1,864,2917,1,6,451,76
0,865,-1,1,7,269,48
0,866,2527,1,6,302,28
1,867,1612,1,9,391,28
1,868,6092,1,8,375,28
1,869,3329,1,6,376,28
0,870,231,1,6,208,28
0,871,5509,1,6,309,28
0,872,5508,1,9,309,28
0,873,2178,1,6,205,28
0,874,6066,1,6,188,28
0,875,2492,1,6,302,28
0,876,2341,1,6,313,28
0,877,-1,1,10,113,48
0,878,4744,1,6,23,28
0,879,247,1,6,315,28
0,880,216,1,8,338,28
0,881,5113,1,6,302,28
0,882,3805,1,9,139,21
0,883,3803,1,6,139,21
0,884,3806,1,6,139,21
0,885,3804,1,6,139,21
1,886,6419,1,9,391,48
