type,title,cast,date_added,rating,listed_in,country_parsed
0,39,6808,1548979200,8,260,76
0,41,1015,1572566400,4,0,76
0,42,6761,1609459200,4,176,76
0,43,6543,1588896000,8,302,33
0,45,3919,1496361600,5,309,67
0,50,4717,1598140800,8,334,76
0,51,2353,1564099200,8,331,76
0,52,5179,1590969600,8,205,19
0,53,335,1533340800,9,188,28
0,55,1488,1537574400,4,272,76
1,56,6383,1502755200,8,231,72
0,57,1,1493337600,9,349,65
0,58,3361,1545264000,6,444,75
0,59,586,1561680000,5,301,76
0,61,4424,1555372800,5,176,76
1,62,3682,1593561600,8,107,75
1,63,3936,1543622400,6,394,28
1,64,5976,1519862400,8,231,9
0,66,4946,1519862400,8,47,76
0,68,1929,1523059200,5,0,64
0,69,2225,1538352000,6,36,28
0,70,2191,1506816000,8,315,65
0,71,1640,1525132800,8,23,0
0,72,2694,1525132800,8,260,75
0,73,5602,1601424000,4,185,76
1,74,2929,1497052800,9,361,65
0,75,3484,1606780800,4,0,76
0,76,4581,1577750400,8,315,48
0,77,1805,1503878400,4,316,76
0,78,5241,1546646400,9,314,29
0,79,13,1564617600,4,188,28
0,80,6808,1560556800,9,262,9
0,81,3578,1481760000,8,205,21
0,83,6114,1555545600,6,205,17
0,84,2858,1609459200,5,18,76
0,85,3601,1569888000,6,309,16
0,87,574,1591488000,8,312,53
0,88,4273,1580428800,8,309,35
1,89,6170,1562889600,11,413,76
0,90,5339,1605830400,6,358,37
0,91,2610,1517443200,8,260,76
1,92,5657,1601510400,11,403,33
1,93,1086,1565913600,8,373,67
0,95,3511,1513728000,7,117,9
0,96,2768,1562889600,8,187,67
0,97,1947,1462406400,2,212,76
0,98,3340,1592006400,8,315,46
0,99,670,1546646400,8,23,48
0,100,3138,1552780800,4,187,76
0,101,4201,1544140800,6,205,33
0,102,612,1489622400,5,191,76
0,103,82,1606780800,4,217,76
0,104,3110,1559347200,5,187,76
0,105,2386,1538092800,6,309,29
0,106,477,1587945600,6,205,56
0,107,40,1522972800,8,301,76
0,108,2667,1518048000,5,36,45
0,109,5478,1576195200,5,33,76
0,110,6118,1441670400,8,305,76
0,111,5039,1509494400,8,338,28
1,112,6808,1604188800,8,426,76
0,113,4220,1567296000,5,204,76
1,114,5118,1564444800,6,489,28
0,118,4861,1477526400,8,309,67
1,115,6808,1545350400,9,275,76
0,116,4007,1557878400,9,207,49
0,117,5059,1533168000,8,315,28
1,120,6808,1464739200,9,278,1
1,121,921,1533859200,6,278,1
1,122,921,1513900800,6,278,1
1,123,4449,1464739200,9,278,1
1,125,4570,1585180800,8,74,48
1,127,1582,1488326400,9,95,76
0,128,4848,1565654400,8,207,28
0,129,902,1583366400,9,315,46
0,130,4741,1498867200,3,136,1
0,131,6808,1572220800,9,266,42
0,132,6140,1602720000,9,113,76
0,133,4418,1581638400,5,176,76
0,134,5078,1543622400,6,312,11
0,135,1623,1522540800,6,302,28
0,136,1284,1515974400,3,326,76
1,137,1373,1504224000,8,392,70
0,138,1655,1593561600,3,15,76
0,139,3692,1607904000,4,217,76
0,140,4050,1586822400,0,130,76
0,141,1873,1601596800,6,208,72
0,142,3260,1602633600,6,50,70
0,143,1834,1604448000,7,322,9
0,144,5423,1510876800,9,135,76
0,145,5424,1575504000,9,135,76
0,146,5425,1543536000,9,135,76
0,147,1370,1482192000,11,422,19
0,148,2391,1577836800,3,117,76
0,149,3679,1575158400,3,123,76
0,150,4032,1604188800,5,162,75
0,151,1559,1522540800,5,322,76
0,152,1701,1572652800,11,117,76
0,153,1374,1579219200,8,329,76
0,154,6297,1476576000,9,266,44
0,155,2153,1576368000,5,293,9
0,156,3850,1575849600,9,422,76
0,157,6251,1510704000,6,51,28
0,158,1922,1555718400,8,309,16
0,159,6616,1516924800,8,176,76
0,160,1106,1578355200,5,301,76
0,161,1165,1531612800,5,199,76
0,162,265,1606435200,10,113,76
0,163,264,1601596800,10,113,48
0,164,263,1596499200,10,113,48
1,165,6243,1483228800,6,376,70
